OBJECTID,Shape,nombre,id_ruta,codigo,recorrido,from_date,sistema,tipo,empresa,id_gflota,longitud,fecha_actualizacion,Shape_Length
25,"(4713411.590539298, 2249142.3958680113)",Barrio Cristóbal-Oriental,90291,200,Origen Destino_Destino Origen,2018-08-01 00:00:00,8A,Directa Centro,Conducciones América,112215,15632.53099372814,2024-11-04 05:11:05,14160.885646884471
26,"(4713139.254252922, 2249152.9757412327)",Belencito-Corazón-Oriental,90299,203 Belencito,Origen Destino_Destino Origen,2018-08-01 00:00:00,8A,Directa Centro,Conducciones América,112265,18053.669821767333,2024-11-04 05:11:05,15499.424374249218
27,"(4713292.435416408, 2247698.6735330867)",Belén La Gloria,90143,172,Origen Destino_Destino Origen,2020-06-05 00:00:00,3A,Directa Centro,Cootrabel,110805,26659.04524915648,2024-11-04 05:11:05,21620.56048437047
28,"(4713074.655538342, 2247254.657474013)",Belén La Nubia,90145,178,Origen Destino_Destino Origen,2022-03-28 00:00:00,3A,Directa Centro,Cootrabel,110815,24512.225601512575,2024-11-04 05:11:05,19590.366140216796
29,"(4713932.384482869, 2247029.0251052408)",Belén Las Playas,90141,170,Origen Destino_Destino Origen,2022-03-28 00:00:00,3A,Directa Centro,Cootrabel,110795,22241.82224301353,2024-11-04 05:11:05,20635.61292594487
30,"(4717555.581413625, 2251514.422497738)",Bello Oriente,90236,57,Origen Destino_Destino Origen,2024-08-27 00:00:00,6E,Directa Centro,Coopetransa,121495,27519.41938612086,2024-11-04 05:11:05,19718.46491665784
31,"(4713724.010262935, 2250668.5133616226)",Blanquizal,90057,246,Origen Destino_Destino Origen,2020-04-01 00:00:00,2A,Directa Centro,Cootransblan,110015,17773.769343186847,2024-11-04 05:11:05,14130.230079838011
32,"(4713675.342238872, 2250647.6744914786)",Blanquizal Calazanía,90061,246C,Origen Destino_Destino Origen,2020-04-01 00:00:00,2A,Directa Centro,Cootransblan,110025,14964.2111147933,2024-11-04 05:11:05,12215.5660602194
33,"(4713843.489277973, 2250921.708529536)",Blanquizal Calazanía directa,90059,246D,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Directa Centro,Cootransblan,110035,17778.26574053717,2024-11-04 05:11:05,15920.08177448943
34,"(4712255.52868912, 2251447.591000857)",Blanquizal integrada,90063,246i,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Integrada,Cootransblan,110042,9830.676424171208,2024-11-04 05:11:05,6604.9714584605235
35,"(4712156.948958763, 2251342.689846199)",Blanquizal integrada,90064,246ii,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Integrada,Cootransblan,110052,9354.884198800955,2024-11-04 05:11:05,6445.015390488821
36,"(4711013.211269538, 2252364.2358914395)",Boqueron Centro Horario Especial,90353,255 V3 HOR ESP,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Directa Centro,Rápido San Cristóbal,112975,39163.48326319405,2024-11-04 05:11:05,26992.647565576917
37,"(4714990.645211049, 2251706.36206152)",Brisas,90097,260BR,Origen Destino_Destino Origen,2024-08-27 00:00:00,2A,Directa Centro,Palenque Robledal,110385,14608.176353540035,2024-11-04 05:11:05,12246.097287939227
38,"(4717920.587453858, 2247968.1602039705)",Buenos Aires,90173,96,Origen Destino_Destino Origen,2020-07-13 00:00:00,6A,Directa Centro,Flota la V,111085,21840.429370462378,2024-11-04 05:11:05,14122.84063393091
39,"(4717455.715008758, 2248271.4437910137)",Buenos Aires,90174,096 Horario Esp,Origen Destino_Destino Origen,2020-07-13 00:00:00,6A,Directa Centro,Flota la V,112855,24874.614158782017,2024-11-04 05:11:05,17157.025422250714
40,"(4717696.791133267, 2248626.24911242)",Caicedo,90267,93,Origen Destino_Destino Origen,2024-08-27 00:00:00,6H,Directa Centro,Copatra,111765,11568.450081129591,2024-11-04 05:11:05,8764.925739362594
41,"(4717687.950854675, 2248613.067424878)",Caicedo La Toma,90266,93,Origen Destino_Destino Origen,2024-08-27 00:00:00,6H,Directa Centro,Copatra,111755,11160.074220358354,2024-11-04 05:11:05,8680.291944363073
42,"(4717234.473191487, 2248914.9326022975)",Caicedo La Toma Minorista,90268,93,Origen Destino_Destino Origen,2024-08-27 00:00:00,6H,Directa Centro,Copatra,111775,13549.230838506577,2024-11-04 05:11:05,11069.448562510184
43,"(4716480.5325571615, 2250863.18541621)",Campo Valdés Centro,90220,51-52 CV-C,Origen Destino_Destino Origen,2024-08-27 00:00:00,6C,Directa Centro,Expreso Campo Valdés,121325,13382.78400567616,2024-11-04 05:11:05,10844.47943175683
44,"(4716491.716846542, 2251067.357338268)",Campo Valdés Ferrocarril,90222,51-52 CV-F,Origen Destino_Destino Origen,2024-08-27 00:00:00,6C,Directa Centro,Expreso Campo Valdés,121355,12959.480282666567,2024-11-04 05:11:05,10460.371020629327
45,"(4716721.521343945, 2251168.404531886)",Campo Valdés Oriental,90223,51-52 CV-O,Origen Destino_Destino Origen,2024-08-27 00:00:00,6C,Directa Centro,Expreso Campo Valdés,121335,12842.58050433802,2024-11-04 05:11:05,11325.652526409685
46,"(4716395.039785791, 2250525.370694018)",Campo Valdés San Diego,90224,51-52 CV-SD,Origen Destino_Destino Origen,2024-08-27 00:00:00,6C,Directa Centro,Expreso Campo Valdés,121345,16842.15771699654,2024-11-04 05:11:05,14849.251132695448
47,"(4715727.3809300065, 2252569.0566588314)",Carabobo - Av. de Greiff,90128,Anillo 1 Carrera 65,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110505,16145.275295367768,2024-11-04 05:11:05,15477.971228491071
48,"(4715243.344799727, 2251688.0805714475)",Carabobo - Av. Greiff,90135,Anillo 1 Carrera 73,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110445,13215.32697100685,2024-11-04 05:11:05,11646.5162052713
49,"(4710086.452647402, 2249966.905128104)",Caseta,90315,227i-C,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Metrosan,111952,4885.477353638738,2024-11-04 05:11:05,3446.406707722105
50,"(4715431.839233366, 2251218.6618258054)",Castillita,90115,265,Origen Destino_Destino Origen,2020-03-10 00:00:00,2B,Directa Centro,Transporte Medellín Castilla,110595,17683.46230398104,2024-11-04 05:11:05,16188.767441772552
51,"(4717349.95647202, 2248113.887891385)",Cauces-Quintalinda,90175,97,Origen Destino_Destino Origen,2024-08-27 00:00:00,6A,Directa Centro,Flota la V,111095,21864.335104211023,2024-11-04 05:11:05,12891.948771488307
52,"(4717128.251700934, 2248340.01552635)",Cauces-Quintalinda,90176,97,Origen Destino_Destino Origen,2024-08-27 00:00:00,6A,Directa Centro,Flota la V,112865,23669.691320883932,2024-11-04 05:11:05,14730.123675058483
53,"(4717590.431392656, 2248080.983511989)",Cerros de Quintalinda,90180,99,Origen Destino_Destino Origen,2024-08-27 00:00:00,6A,Directa Centro,Coopcerquin,111115,14602.45966348263,2024-11-04 05:11:05,11537.63939014162
54,"(4717341.605449209, 2248172.178519837)",Cerros de Quintalinda,90181,099 Horario Esp,Origen Destino_Destino Origen,2024-08-27 00:00:00,6A,Directa Centro,Coopcerquin,112875,16150.173400519108,2024-11-04 05:11:05,13085.35312717731
55,"(4713636.822443535, 2249209.3500789767)",Circular,90005,300,Origen Destino_Destino Origen,2022-03-28 00:00:00,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112447,27561.262302622294,2024-11-04 05:11:05,26930.603653796883
56,"(4713725.220179633, 2249132.85048531)",Circular,90006,301,Origen Destino_Destino Origen,2022-03-28 00:00:00,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,112457,28393.91811644856,2024-11-04 05:11:05,27763.25946759375
57,"(4713723.162586761, 2249184.700660087)",Circular,90367,300 DIR-80,Origen Destino_Destino Origen,2024-08-27 00:00:00,"Circular Coonatra 300, 301, 310, 311",Circular,Coonatra,,26054.31764248133,2024-11-04 05:11:05,25423.65895893164
